#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
6	1229543	MASENO UNIVERSITY	BACHELOR OF SCIENCE (HEALTH RECORDS AND INFORMATION MANAGEMENT, WITH IT)	26.384	29.567	BIO(231)/BSC(235):C-	MAT A(121):C	ENG(101)/KIS(102):C+	PHY(232)/CHE(233)/PSC(23 4):C
BACHELOR OF ARTS (DISASTER MANAGEMENT, WITH IT)									
1	1229544	MASENO UNIVERSITY	BACHELOR OF ARTS (DISASTER MANAGEMENT, WITH IT)	22.449	24.902				
BACHELOR OF SCIENCE IN GLOBAL HEALTH AND TRAVEL MEDICINE									
1	1082546	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE IN GLOBAL HEALTH AND TRAVEL MEDICINE	25.647	31.024	BIO(231):C	CHE(233):C	MAT A(121)/PHY(232):C	ENG(101)/KIS(102):C
BACHELOR OF SCIENCE ( BIO-RESOURCES MANAGEMENT AND CONSERVATION)									
1	1108547	KIBABII UNIVERSITY	BACHELOR OF SCIENCE ( BIO-RESOURCES MANAGEMENT AND CONSERVATION)	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233)/GEO(312):C+		
BACHELOR OF SCIENCE IN MARITIME MANAGEMENT (COMMERCIAL)									
1	1063548	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF SCIENCE IN MARITIME MANAGEMENT (COMMERCIAL)	15.864	17.043	BIO(231):C	CHE(233):C		
2	1117548	PWANI UNIVERSITY	BACHELOR OF MARITIME STUDIES	15.864	17.043	BIO(231):C	CHE(233):C		
3	1091548	TAITA TAVETA UNIVERSITY	BACHELOR OF MARITIME AND SHIPPING MANAGEMENT	-	-	BIO(231):C	CHE(233):C		
BACHELOR OF SCIENCE (DISASTER RISK MANAGEMENT AND SUSTAINABLE DEVELOPMENT)									
1	1080549	CO-OPERATIVE UNIVERSITY OF KENYA	BACHELOR OF SCIENCE (DISASTER RISK MANAGEMENT AND SUSTAINABLE DEVELOPMENT)	22.449	24.652				
2	1570549	TURKANA UNIVERSITY COLLEGE	BACHELOR OF SCIENCE (DISASTER MANAGEMENT AND SUSTAINABLE DEVELOPMENT)	22.449	22.916				
BACHELOR OF ARTS (POLITICAL SCIENCE & PUBLIC ADMINISTRATION)									
1	1165550	MAASAI MARA UNIVERSITY	BACHELOR OF ARTS (POLITICAL SCIENCE & PUBLIC ADMINISTRATION)	22.449	26.453				
2	1073550	RONGO UNIVERSITY	BACHELOR OF ARTS (POLITICAL SCIENCE AND PUBLIC ADMINISTRATION)	22.449	25.712				
3	1096550	GARISSA UNIVERSITY	BACHELOR OF ARTS (POLITICAL SCIENCE AND PUBLIC ADMINISTRATION)	22.449	22.916				
